run,plate,well,df,lambda,cv.crit,pen.crit,crit,spar
cs1,1,A01,25.58032005728824,3.748347255111808e-6,2.3295499302358753e-5,0.0011826416811886037,2.3295498719759053e-5,0.40270242419394475
cs1,1,A02,30.29781096042406,1.747142521771661e-6,1.3166747190539412e-5,5.716973250440913e-4,1.3166746834141622e-5,0.35675002092748576
cs1,1,A03,32.991748621224325,1.1748746403882256e-6,1.5175874137604685e-5,5.864733384560216e-4,1.5175873623868952e-5,0.3329629317666911
cs1,1,A04,31.367803611195015,1.4882869100525505e-6,2.171904064202268e-5,9.033950169136662e-4,2.171904030303315e-5,0.34717734227284996
cs1,1,A05,36.863476358284586,6.861864326289719e-7,2.8810953081631527e-5,8.688637104511293e-4,2.881095289684237e-5,0.3005698223162871
cs1,1,A06,59.59944871538197,1.3955735216460313e-8,2.3625187390270058e-5,2.6839684607750944e-4,2.3625187014872123e-5,0.06641688677459984
cs1,1,A07,34.62975121202394,9.322047580096804e-7,1.453653441196476e-5,5.541074961853712e-4,1.4536533803156189e-5,0.3189884167584085
cs1,1,A08,32.61134293371467,1.2409389426151247e-6,4.264389945381189e-5,0.001760018461691172,4.264389889575779e-5,0.33625148616865375
cs1,1,A09,40.682980144168084,4.127296111967971e-7,3.7422116103827414e-5,0.0010987132557920241,3.742211545006765e-5,0.2700113373810505
cs1,1,A10,44.33321878314516,2.550981651832258e-7,3.692765777126341e-5,0.0010266049443585726,3.6927657041116976e-5,0.24108865355784218
cs1,1,A11,42.219274425224604,3.3721203838379526e-7,3.6227636516176014e-5,0.0010810730643410734,3.6227635795569754e-5,0.2579304768208161
cs1,1,A12,27.302617964865977,2.8023376216108364e-6,9.444700134325323e-5,0.004560534514213853,9.444700014021352e-5,0.3851514153720461
cs1,1,B01,46.8468152802093,1.8187505265723683e-7,1.0325581052464605e-5,2.5496000207172694e-4,1.0325580992908772e-5,0.2207509516085077
cs1,1,B02,51.20565701874422,9.679217900099972e-8,1.5181256375199796e-5,2.889132227301698e-4,1.5181255991598727e-5,0.18290157297324552
cs1,1,B03,34.8009754670007,9.102558289117314e-7,2.388374650135137e-5,9.12387522290808e-4,2.3883746386826746e-5,0.3175561333566211
cs1,1,B04,33.686072775967844,1.0642756086540523e-6,2.687878194145417e-5,0.001060749457699685,2.6878781588289145e-5,0.3270198056435155
cs1,1,B05,34.77588182600589,9.134363548239816e-7,2.9287736518165835e-5,0.0011244845815815304,2.92877361353873e-5,0.31783248506748984
cs1,1,B06,34.43569176325127,9.577949113238406e-7,3.093128883374875e-5,0.0011976787766060093,3.093128835862523e-5,0.3206830084776957
cs1,1,B07,33.62317797938184,1.0737958530296797e-6,2.7601365856318123e-5,0.0010859572573249804,2.760136561812893e-5,0.3274884564547621
cs1,1,B08,15.361584087225848,3.4738740194266596e-5,1.288316635452642e-4,0.00678625245912698,1.2883166097867562e-4,0.5364781936064177
cs1,1,B09,36.766018282444605,6.952959882128561e-7,2.880671954320127e-5,0.0010235677873925808,2.8806719200470105e-5,0.3014292787035362
cs1,1,B10,33.02469071762727,1.1693434580482104e-6,4.809253161017021e-5,0.00193491513504302,4.809253134699762e-5,0.33267926133568243
cs1,1,B11,40.72667228421259,4.10362086761712e-7,3.894004135076023e-5,0.0012112782995750745,3.894004077549398e-5,0.26973220230129114
cs1,1,B12,23.229972723163762,5.736434196160856e-6,3.492890554957797e-5,0.0018804407181255728,3.4928904610819075e-5,0.4282815752684854
cs1,1,C01,26.63679790132244,3.129984601414526e-6,1.5531956103136882e-5,7.32056856118447e-4,1.553195584504142e-5,0.3917982810508797
cs1,1,C02,32.12203440172955,1.332203650332991e-6,7.572492532386309e-6,3.084785480808086e-4,7.572492230925219e-6,0.34051742405424484
cs1,1,C03,37.29696424743657,6.472016319401649e-7,6.62957540036158e-6,2.223698587175293e-4,6.6295753233524085e-6,0.2971204444600698
cs1,1,C04,31.993698254195337,1.3573892942724594e-6,2.2473335191877953e-5,9.159843343789047e-4,2.2473334863690064e-5,0.34164325322803674
cs1,1,C05,19.076468651052846,1.3553842950307465e-5,7.859777917253879e-5,0.0047588683445342105,7.859777917253877e-5,0.47993472619322924
cs1,1,C06,29.157938355121217,2.0820972009832434e-6,4.444762123355824e-5,0.001986537071715862,4.444762088006172e-5,0.36736004047088144
cs1,1,C07,22.615053262019646,6.452980746916787e-6,4.3926169616492976e-5,0.0024337535179898557,4.39261689061302e-5,0.4352903702444509
cs1,1,C08,27.91381503070221,2.536713632150238e-6,4.8402768062573484e-5,0.0022965853883161586,4.8402767855232104e-5,0.37916516064516276
cs1,1,C09,31.92889751241703,1.3703123159501636e-6,2.7889362162416752e-5,0.0011977760410837308,2.78893618748743e-5,0.34221284507431887
cs1,1,C10,23.258295638400178,5.7058115980714595e-6,7.163085214046888e-5,0.003925456918019588,7.163085147270599e-5,0.4278931366361195
cs1,1,C11,29.792119389715214,1.8873608821603362e-6,4.626189040190355e-5,0.0021073226972940368,4.6261890146406885e-5,0.36145724392425266
cs1,1,C12,30.935327434260884,1.5871983937727719e-6,2.1068075038324698e-5,8.82916768104998e-4,2.1068074787997276e-5,0.35097856983803544
cs1,1,D01,28.108280270557064,2.4584989561751116e-6,2.1395626190624206e-5,0.001007556367654566,2.1395625731594466e-5,0.3772825389692546
cs1,1,D02,29.892074986164214,1.8586396062381191e-6,1.1213265807731324e-5,5.062323816838933e-4,1.1213265705865471e-5,0.3605354417854157
cs1,1,D03,33.43017163555689,1.1036134851191676e-6,9.321159649421524e-6,3.751649816267551e-4,9.321159570039517e-6,0.3292016050850459
cs1,1,D04,31.099367514053508,1.54881708964752e-6,2.0115235417234785e-5,8.637733219179555e-4,2.0115235250362247e-5,0.3495737632517108
cs1,1,D05,28.473723446876257,2.319048437408916e-6,2.469803453370982e-5,0.0011493044931936156,2.469803438522569e-5,0.3737723394937199
cs1,1,D06,40.69232457481491,4.122221009442488e-7,3.13956144858466e-5,9.539777169158857e-4,3.13956143666278e-5,0.2699373752133763
cs1,1,D07,27.240060121827078,2.8313346510971622e-6,1.3875410821285255e-5,6.682613776494952e-4,1.3875410279153335e-5,0.38583690993179404
cs1,1,D08,28.79450376749511,2.2042343072361134e-6,3.567669528058305e-5,0.0016741281951329708,3.5676695066109115e-5,0.3707200326856076
cs1,1,D09,24.80634163495357,4.295149252243273e-6,2.6898963955410772e-5,0.001396660091360454,2.6898963589247082e-5,0.41082131004252465
cs1,1,D10,29.111883838919944,2.0971287444745357e-6,2.726141754250775e-5,0.001247809244611039,2.7261417012376374e-5,0.3677924576114862
cs1,1,D11,32.34399137719019,1.289891072103717e-6,1.0752720724700435e-5,4.171551960349936e-4,1.0752720567424247e-5,0.33851051876062915
cs1,1,D12,22.718397375298164,6.32529733992767e-6,1.9497094003047374e-5,0.0010757606592238461,1.949709354318128e-5,0.43408901937760364
cs1,1,E01,21.925791650603955,7.389327255912962e-6,2.9086552829631556e-5,0.0014893745349124701,2.9086552205885607e-5,0.4435019420898992
cs1,1,E02,34.17503228776348,9.934075850884194e-7,8.08281797589442e-6,3.0339615071189825e-4,8.082817869757594e-6,0.32281087026271826
cs1,1,E03,26.5460451293801,3.1780766391212974e-6,1.3128814431542514e-5,6.348035368216368e-4,1.3128814124004995e-5,0.3927148792016735
cs1,1,E04,26.937872148800164,2.976503487298425e-6,1.0320650737891045e-5,5.036097752477438e-4,1.032065058489699e-5,0.3887759071568741
cs1,1,E05,22.459705284628914,6.650838558492958e-6,1.706081239625026e-5,9.510655920431265e-4,1.706081226849399e-5,0.4371058089792788
cs1,1,E06,23.016310973503018,5.973953851273388e-6,2.7652025288587436e-5,0.0015105089665961274,2.7652024988798176e-5,0.43065371916294837
cs1,1,E07,28.57415911546571,2.282362944041501e-6,1.796853373173028e-5,8.510068739238617e-4,1.7968533580406114e-5,0.37288049090214864
cs1,1,E08,49.9385485264923,1.173013126128424e-7,1.4219897208840831e-5,2.885495480599289e-4,1.4219896860085749e-5,0.1944539387307418
cs1,1,E09,33.46947198390885,1.0974672445796607e-6,7.008585393625954e-6,2.774998498122501e-4,7.008585274670582e-6,0.32879921237901505
cs1,1,E10,34.86443316390383,9.022674693167428e-7,7.2457423501274205e-6,2.7800789233143653e-4,7.245742226533391e-6,0.31702626241304044
cs1,1,E11,36.14146508116215,7.568845274313939e-7,2.3741809754920206e-5,8.878601065021147e-4,2.374180933377416e-5,0.30653119337956264
cs1,1,E12,22.580227363056746,6.496709928917586e-6,2.4840336365457564e-5,0.0013813449171323944,2.484033579606619e-5,0.435696352352013
cs1,1,F01,30.237708023484437,1.7631596445922497e-6,9.332977770267766e-6,4.1006022695541184e-4,9.332977522167894e-6,0.3572985962940138
cs1,1,F02,32.33995618799775,1.2906465396734447e-6,6.296918036946184e-6,2.616257510351063e-4,6.296917872289323e-6,0.3386123954259293
cs1,1,F03,32.69111458222944,1.2267436950195182e-6,1.2252005999810938e-5,5.019426896978455e-4,1.2252005866425935e-5,0.33549321121828146
cs1,1,F04,23.298013553419914,5.663200412049961e-6,6.832482616943894e-6,3.687872605667982e-4,6.832482455156461e-6,0.4275092151855244
cs1,1,F05,22.547476964409515,6.53816067462638e-6,1.2718759354169785e-5,7.066182653171179e-4,1.271875916345305e-5,0.4361453506128638
cs1,1,F06,17.834271727054816,1.8160282277065233e-5,1.8542517963600104e-5,0.001164386767813807,1.8542517570057175e-5,0.49748824405742553
cs1,1,F07,38.98873488055331,5.1627375729304e-7,7.668601207210289e-6,2.5093747683956644e-4,7.668600960181817e-6,0.2834671420469969
cs1,1,F08,26.585680531395557,3.1569658315800137e-6,1.0176018258762934e-5,4.974822065367921e-4,1.0176017858296632e-5,0.3923809253442144
cs1,1,F09,26.661912403462978,3.1168286964744103e-6,1.8435363557678912e-5,9.10426092428207e-4,1.8435363217947468e-5,0.3916117677966366
cs1,1,F10,23.807472607457495,5.1492437571916505e-6,3.813363651581883e-5,0.002033420640675597,3.813363592457249e-5,0.4217234890833377
cs1,1,F11,29.787460223097824,1.888712169667661e-6,1.2861517010571946e-5,5.686382409247081e-4,1.286151686432244e-5,0.36143358579928264
cs1,1,F12,27.1784729368344,2.8602288059189396e-6,1.677735935314121e-5,8.223697193961309e-4,1.6777358739955912e-5,0.3864472550086074
cs1,1,G01,25.302387308114934,3.934553404090147e-6,3.492064418136366e-5,0.001729377934859607,3.492064376366076e-5,0.4055501278905835
cs1,1,G02,34.10246668583451,1.003583127020636e-6,1.232497417435245e-5,4.4542890474488745e-4,1.2324974076609758e-5,0.3234234724543175
cs1,1,G03,28.398671202427657,2.3469140502117437e-6,1.6009343229628925e-5,7.241345613486626e-4,1.6009343092343444e-5,0.37449034173974377
cs1,1,G04,25.887266482650617,3.5547836114919205e-6,8.51606941873882e-6,4.276551984552044e-4,8.516069375197255e-6,0.3995152211495845
cs1,1,G05,13.171945964669,6.795101052551556e-5,1.1028280662356394e-5,7.774318278604662e-4,1.102828058555883e-5,0.5768761146477794
cs1,1,G06,11.062873694972437,1.4644763040845633e-4,1.1727004684007637e-5,8.541107270637154e-4,1.172700464131236e-5,0.623035196353718
cs1,1,G07,25.495291379568773,3.804174302502375e-6,2.0677558830895877e-5,0.001045754828216178,2.0677558591288515e-5,0.40352443875987515
cs1,1,G08,34.12201506667291,1.0008305339700807e-6,9.316235938330022e-6,3.611849236080562e-4,9.316235751214715e-6,0.3232583720212984
cs1,1,G09,27.946458046156675,2.523382299517256e-6,1.1333913382135964e-5,5.216351372948542e-4,1.1333912979313645e-5,0.3789150979518946
cs1,1,G10,22.349950386301675,6.795065547292225e-6,4.613396810605512e-5,0.0025791713722320086,4.613396722872239e-5,0.438395442960246
cs1,1,G11,23.072394505852635,5.9104762990652614e-6,5.5116022878411756e-5,0.0029992360034841515,5.5116022136873e-5,0.43001156511713123
cs1,1,G12,16.619248198272278,2.467371545335429e-5,1.264467504788948e-4,0.00823888430953788,1.2644674673246086e-4,0.5159794455956488
cs1,1,H01,30.34038343280204,1.7358990060853995e-6,8.868515308200562e-6,3.7375589271761205e-4,8.868515233557649e-6,0.35642860665088116
cs1,1,H02,32.018160545138265,1.3525470434013304e-6,6.174893236388513e-6,2.535090260179624e-4,6.1748930565372715e-6,0.3414284296423291
cs1,1,H03,30.185227986475123,1.7772844276569264e-6,7.299615374260381e-6,3.2809899073960106e-4,7.299615198606248e-6,0.35777824097918554
cs1,1,H04,11.202442656462392,1.3854430244067563e-4,4.282927243657517e-6,3.1153843732273026e-4,4.28292719630439e-6,0.619633610336429
cs1,1,H05,11.098743815218329,1.4436402295349814e-4,8.706252460273057e-6,6.394285021909247e-4,8.706252428567155e-6,0.6221071048751154
cs1,1,H06,9.450957746726134,2.955038979754526e-4,1.5969572874868253e-5,0.0012109239898907235,1.5969572767183135e-5,0.6652348768275633
cs1,1,H07,20.71745675967662,9.464086473264675e-6,2.9164458371788344e-6,1.6571036991370618e-4,2.9164457554459076e-6,0.4583111003906156
cs1,1,H08,14.519738670349021,4.440254509006971e-5,1.6517613483151884e-5,0.0011072977555813767,1.6517613076894164e-5,0.5512322323409767
cs1,1,H09,18.44267713157236,1.5697652101452483e-5,4.566772387295088e-6,2.7991005659729046e-4,4.56677232772615e-6,0.4887283343884421
cs1,1,H10,8.94666703923726,3.7831503883448413e-4,2.6583335116872023e-5,0.0020793523770799333,2.658333500095633e-5,0.6800853340709154
cs1,1,H11,10.936403468278655,1.5409892145598438e-4,2.64396984664549e-5,0.001982112885123805,2.643969824144558e-5,0.6260298344761938
cs1,1,H12,9.438960052760782,2.971949181612025e-4,3.2866987929718454e-5,0.002552214247810292,3.286698788627552e-5,0.665511195458776
