plate,well,runtime,measure,strain,drug,dose_um,run,measures_pp
1,A01,926,0.111,wt,6772625 (2),0,cs1,0
1,A01,1802,0.1098,wt,6772625 (2),0,cs1,0.0016000000000000042
1,A01,2678,0.119,wt,6772625 (2),0,cs1,0.0031999999999999945
1,A01,3552,0.124,wt,6772625 (2),0,cs1,0.003979999999999997
1,A01,4427,0.1114,wt,6772625 (2),0,cs1,0.00476
1,A01,5301,0.1235,wt,6772625 (2),0,cs1,0.007180000000000006
1,A01,6176,0.1149,wt,6772625 (2),0,cs1,0.0063600000000000045
1,A01,7050,0.1139,wt,6772625 (2),0,cs1,0.006080000000000002
1,A01,7924,0.124,wt,6772625 (2),0,cs1,0.007900000000000004
1,A01,8799,0.1255,wt,6772625 (2),0,cs1,0.010020000000000001
1,A01,9673,0.1148,wt,6772625 (2),0,cs1,0.009800000000000003
1,A01,10548,0.1176,wt,6772625 (2),0,cs1,0.012240000000000001
1,A01,11422,0.1271,wt,6772625 (2),0,cs1,0.014280000000000001
1,A01,12297,0.1278,wt,6772625 (2),0,cs1,0.015040000000000012
1,A01,13171,0.1224,wt,6772625 (2),0,cs1,0.01586
1,A01,14046,0.1278,wt,6772625 (2),0,cs1,0.01867999999999999
1,A01,14920,0.1296,wt,6772625 (2),0,cs1,0.021239999999999995
1,A01,15794,0.148,wt,6772625 (2),0,cs1,0.02528000000000001
1,A01,16669,0.1365,wt,6772625 (2),0,cs1,0.029800000000000007
1,A01,17543,0.1399,wt,6772625 (2),0,cs1,0.03474000000000001
1,A01,18417,0.1504,wt,6772625 (2),0,cs1,0.03848
1,A01,19292,0.1543,wt,6772625 (2),0,cs1,0.044
1,A01,20166,0.1552,wt,6772625 (2),0,cs1,0.051280000000000006
1,A01,21041,0.1675,wt,6772625 (2),0,cs1,0.06174
1,A01,21915,0.1844,wt,6772625 (2),0,cs1,0.07202000000000001
1,A01,22789,0.2057,wt,6772625 (2),0,cs1,0.08390000000000002
1,A01,23663,0.2027,wt,6772625 (2),0,cs1,0.09744000000000001
1,A01,24538,0.2146,wt,6772625 (2),0,cs1,0.10842000000000003
1,A01,25412,0.2352,wt,6772625 (2),0,cs1,0.11830000000000003
1,A01,26286,0.2393,wt,6772625 (2),0,cs1,0.12996000000000002
1,A01,27161,0.2521,wt,6772625 (2),0,cs1,0.14411999999999997
1,A01,28036,0.264,wt,6772625 (2),0,cs1,0.15643999999999997
1,A01,28910,0.2854,wt,6772625 (2),0,cs1,0.17306
1,A01,29785,0.2968,wt,6772625 (2),0,cs1,0.19084
1,A01,30659,0.3224,wt,6772625 (2),0,cs1,0.20976
1,A01,31534,0.341,wt,6772625 (2),0,cs1,0.22886000000000006
