run,plate,well,y_max_x,y_max_y,dy_max_x,dy_max_y,dy_max_m,dy_max_b,dy_max_y0_x,fit_int
cs1,1,A01,82970,0.9471915793098327,44650,0.7660251419572591,3.624814973155177e-5,-0.8524547435565274,23517.193287648508,48472.03428470789
cs1,1,A02,82970,0.9133901459538759,40278,0.6227373330805266,3.6054051927820073e-5,-0.8294477704682104,23005.674150821058,47085.31785324498
cs1,1,A03,82970,0.948964879140387,40278,0.6401222118570385,3.776886217261874e-5,-0.8811320187316992,23329.58866233711,48961.10333750279
cs1,1,A04,60389,0.755037724297915,44650,0.4655924864065359,2.255436291708803e-5,-0.5414598178414445,24006.87706551065,36013.84922024154
cs1,1,A05,60389,0.775118418267113,44650,0.4707983726934556,2.430189081939072e-5,-0.61428105239234,25277.08880587181,36867.223227930415
cs1,1,A06,59515,0.7734960103887871,926,0.08419087453666414,4.142705962567164e-5,0.04582941732329221,-1106.2676843927516,36773.082853598266
cs1,1,A07,82970,0.9487068089753432,40278,0.6553599560381829,3.8328936372627944e-5,-0.8884529431785255,23179.69208801216,49430.62935596374
cs1,1,A08,82970,0.9247037443529973,40278,0.6380287412412755,3.775364466908384e-5,-0.8826125587400833,23378.208024054635,48035.81095908738
cs1,1,A09,82096,0.9379061975276336,45524,0.814593406489988,3.881020300233331e-5,-0.9522022749882335,24534.84396695854,48165.85474542531
cs1,1,A10,63013,0.8383265263190492,52519,0.5698786490997878,3.2984455754894505e-5,-1.1624319826915166,35241.81181976984,35110.927487738234
cs1,1,A11,62138,0.8905135356071626,55143,0.719164476547613,3.4013507400040184e-5,-1.156442362012803,33999.50344466495,37342.45823128448
cs1,1,A12,63013,0.8885801133294773,57766,0.7548711704036937,3.347261742494366e-5,-1.1787080477656018,35214.09852123585,37132.33168321512
cs1,1,B01,82096,0.9324031322649526,40278,0.6082372260466078,3.98927488570406e-5,-0.9985629124172735,25031.188399568986,47238.12002085322
cs1,1,B02,82096,0.9489510939543288,42901,0.7147393366228805,3.852965691069256e-5,-0.9382214745027411,24350.631428601446,48131.85272577904
cs1,1,B03,82096,0.9291387404313953,40278,0.6034475216433998,3.6806944339813154e-5,-0.8790625824755945,23883.063325219704,47091.03105435809
cs1,1,B04,60389,0.7753497662063344,48148,0.538955483855372,2.4633065367263214e-5,-0.6470773474476174,26268.648980551505,35766.64048899398
cs1,1,B05,59515,0.7936354597645263,44650,0.4816218011554432,2.5335652645744885e-5,-0.649615089477066,25640.353479750152,37168.939632126196
cs1,1,B06,60389,0.7732771208688601,43775,0.44279895389030355,2.37476554093743e-5,-0.5967546616550564,25128.992793936606,36240.67523835927
cs1,1,B07,83845,0.9119215036167828,40278,0.6081826323288807,3.650949300195877e-5,-0.8623467268040145,23619.794631433222,46912.89444616164
cs1,1,B08,83845,0.9864163946671042,41152,0.7004492511088828,3.786535263815197e-5,-0.8577857406563473,22653.5785590986,49897.86963971974
cs1,1,B09,82096,0.8957323270653741,43775,0.7194314668669014,3.5274476661791385e-5,-0.8247087490030164,23379.75859742023,45887.92661005825
cs1,1,B10,63013,0.8581804438625991,57766,0.7163581872024983,3.3510375011922065e-5,-1.2194021357361917,36388.794076531885,34969.1573674446
cs1,1,B11,62138,0.8745521465262207,51645,0.5713125278876185,3.4312722403355187e-5,-1.20076802063366,34994.8338845957,36349.382591361624
cs1,1,B12,65075,0.859073558469178,55143,0.6416508928254185,3.204396746126038e-5,-1.1253496048908627,35118.92234478631,35572.26657467788
