Time,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21,Well 22,Well 23,Well 24,Well 25,Well 26,Well 27,Well 28,Well 29,Well 30,Well 31,Well 32,Well 33,Well 34,Well 35,Well 36
0:00:00,0.01,0.009,0.01,0.009,0.008,0.011,0.005,0.006,0.007,0.008,0.016,0.01,0.009,0.006,0.008,0.007,0.007,0.008,0.01,0.01,0.014,0.006,0.012,0.005,0.013,0.008,0.01,0.009,0.01,0.011,0.011,0.01,0.011,0.01,0.014,0.011
8:30:00,0.012,0.01,0.011,0.01,0.009,0.013,0.006,0.006,0.009,0.007,0.017,0.01,0.009,0.004,0.003,0.002,0.005,0.003,0.004,0.002,0.004,0.004,0.009,0.003,0.01,0.003,0.011,0.003,0.004,0.005,0.007,0.003,0.007,0.007,0.003,0.008
17:00:00,0.014,0.018,0.019,0.01,0.007,0.015,0.009,0.005,0.009,0.008,0.013,0.012,0.007,0.008,0.007,0.006,0.005,0.006,0.007,0.004,0.007,0.005,0.009,0.004,0.014,0.005,0.006,0.009,0.009,0.007,0.011,0.006,0.006,0.01,0.004,0.007
28:30:00,0.017,0.03,0.04,0.009,0.008,0.01,0.006,0.006,0.007,0.005,0.011,0.012,0.005,0.003,0.002,0.005,0.004,0.004,0.003,0.001,0.002,0.002,0.004,0.003,0.008,0.004,0.006,0.005,0.006,0.008,0.01,0.002,0.006,0.01,0.004,0.01
35:00:00,0.025,0.05,0.074,0.006,0.008,0.012,0.009,0.006,0.012,0.009,0.013,0.013,0.009,0.003,0.003,0.005,0.005,0.005,0.006,0.001,0.006,0.004,0.006,0.002,0.013,0.005,0.005,0.009,0.004,0.01,0.011,0.003,0.006,0.01,0.003,0.008
50:45:00,0.062,0.161,0.24,0.006,0.005,0.008,0.006,0.005,0.006,0.008,0.013,0.011,0.005,0.004,0.002,0.002,0.002,0,0.007,0,0.005,0.002,0.006,0.001,0.01,0.002,0.002,0.007,0.004,0.008,0.01,0.004,0.007,0.009,0.002,0.009
57:45:00,0.098,0.267,0.315,0.008,0.004,0.009,0.006,0.007,0.008,0.008,0.016,0.014,0.006,0.005,0.004,0.007,0.004,0.007,0.006,0,0.007,0.003,0.005,0.005,0.013,0.002,0.006,0.006,0.006,0.008,0.011,0.005,0.007,0.011,0.001,0.009
64:35:00,0.162,0.316,0.321,0.009,0.008,0.011,0.008,0.006,0.008,0.009,0.017,0.013,0.006,0.004,0.004,0.003,0.004,0.006,0.008,0.001,0.006,0.004,0.003,0.003,0.008,0.002,0.003,0.005,0.004,0.008,0.01,0.003,0.005,0.009,0.002,0.009
128:35:00,0.305,0.318,0.311,0.006,0.006,0.011,0.007,0.003,0.006,0.009,0.015,0.012,0.006,0.002,0.002,0.005,0.003,0.004,0.005,-0.003,0.005,0.001,0.006,0.002,0.007,0.002,0.003,0.006,0.002,0.007,0.009,0.002,0.003,0.007,0,0.007
150:05:00,0.279,0.275,0.277,0.012,0.017,0.058,0.022,0.013,0.011,0.014,0.019,0.018,0.005,0.006,0.001,0.006,0,0,0.008,0.003,0.004,-0.002,0.006,0.003,0.009,-0.002,0.003,0.003,0.002,0.009,0.007,0.002,0.003,0.007,-0.002,0.007
